"ncbi ID","Scientific.Name","superkingdom","kingdom","phylum","class","order","family","genus","species"
"1000565","Methyloversatilis universalis FAM5","Bacteria","0","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Sterolibacteriaceae","Methyloversatilis","Methyloversatilis universalis"
"1000569","Megasphaera sp. UPII 135-E","Bacteria","0","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera","Megasphaera sp. UPII 135-E"
"1001240","Cryobacterium roopkundense","Bacteria","0","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Cryobacterium","Cryobacterium roopkundense"
"1001886","Vibrio sp. C7","Bacteria","0","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio sp. C7"
"100226","Streptomyces coelicolor A3(2)","Bacteria","0","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces coelicolor"
"1002340","Leisingera sp. ANG1","Bacteria","0","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Leisingera","Leisingera sp. ANG1"
"1002368","Yokenella regensburgei ATCC 43003","Bacteria","0","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Yokenella","Yokenella regensburgei"
"1002672","Candidatus Pelagibacter sp. IMCC9063","Bacteria","0","Proteobacteria","Alphaproteobacteria","Pelagibacterales","Pelagibacteraceae","Candidatus Pelagibacter","Candidatus Pelagibacter sp. IMCC9063"
"1002804","Helicobacter bizzozeronii CIII-1","Bacteria","0","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter bizzozeronii"
"1002805","Helicobacter bizzozeronii CCUG 35545","Bacteria","0","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter bizzozeronii"
"1002809","Solibacillus silvestris StLB046","Bacteria","0","Firmicutes","Bacilli","Bacillales","Planococcaceae","Solibacillus","Solibacillus silvestris"
"1003","Thermoflexibacter ruber","Bacteria","0","Bacteroidetes","Cytophagia","Cytophagales","0","Thermoflexibacter","Thermoflexibacter ruber"
"1003181","Candidatus Thiomargarita nelsonii","Bacteria","0","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Thiomargarita","Candidatus Thiomargarita nelsonii"
